;Tytul;Lokalizacja;Cena;Cena_za_metr;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Okna;Rodzaj zabudowy;Czynsz;Forma własności;Ogrzewanie;Rok budowy;Materiał budynku;Stan wykończenia;Dostępne od
0;Mieszkanie po generalnym remoncie!;Bydgoszcz, Bartodzieje;269000;7231;37,20 m²;2;wtórny;4;11;plastikowe;;;;;;;;
1;Rzeszów, mieszkanie na sprzedaż, Baranówka;Rzeszów, podkarpackie;264000;5116;51,60 m²;3;wtórny;3;;plastikowe;blok;490 zł;pełna własność;;;;;
2;Mieszkanie, 31 m², Kraków;Kraków, Nowa Huta, Czyżyny, os. Kościuszkowskie;333000;10742;31 m²;1;wtórny;5;10;plastikowe;blok;279 zł;;miejskie;1970;;;
3;Borek Fałęcki, 2 niezależne pokoje;Kraków, Łagiewniki-Borek Fałęcki, Borek Fałęcki, Zakopiańska;233000;6853;34 m²;2;wtórny;2;3;plastikowe;kamienica;200 zł;;;1920;cegła;;
4;Mieszkanie, 36,45 m², Kraków;Kraków, Bieńczyce, os. Kazimierzowskie;302500;8299;36,45 m²;2;wtórny;10;10;plastikowe;blok;270 zł;;miejskie;;;do remontu;
5;2 pokoje + balkon, bez prowizji -ceny Dewelopera;Wieliczka, wielicki, małopolskie;279600;7249;38,57 m²;2;pierwotny;2;4;plastikowe;blok;;;;2021;;;
6;Dom Marzeń III Etap, mieszkanie 31;ul. Jana Pawła II, Piaseczno, piaseczyński, mazowieckie;434979;7650;56,86 m²;3;pierwotny;2;5;;;;;;2019;;do wykończenia;
7;Nowe 3 pokoje + narożny ogródek 97m2;Wieliczka, wielicki, małopolskie;353600;6950;50,88 m²;3;pierwotny;parter;4;plastikowe;blok;;;;2021;;;
8;Nowe mieszkanie od dewelopera/Olimpia Port;Wrocław, Psie Pole, Ferdynanda Magellana;513000;9189;55,83 m²;3;wtórny;1;3;;apartamentowiec;;pełna własność;miejskie;2019;pustak;;
14;Dom Marzeń III Etap, mieszkanie 30;ul. Jana Pawła II, Piaseczno, piaseczyński, mazowieckie;463314;7400;62,61 m²;3;pierwotny;2;5;;;;;;2019;;do wykończenia;
15;Komfortowe Dwupoziomowe w Pełni Wyposażone, METRO!;Warszawa, Bemowo, Górce, ul. gen. Tadeusza Pełczyńskiego;790000;10621;74,38 m²;4;wtórny;3;;plastikowe;blok;660 zł;pełna własność;miejskie;2001;;do zamieszkania;
17;Mieszkanie 4-pokojowe w okolicach Galerii Tomaszów;ul. Siedmiodomki, Tomaszów Mazowiecki, tomaszowski, łódzkie;309600;4300;72 m²;4;wtórny;2;2;plastikowe;blok;440 zł;pełna własność;gazowe;1980;wielka płyta;do zamieszkania;2020-01-19
19;Złota 44 - najtańszy - 5% Roi - 34 127m2;Warszawa, Śródmieście, Złota;2150000;34127;63 m²;2;wtórny;> 10;44;aluminiowe;apartamentowiec;;pełna własność;miejskie;2018;inne;;
21;Złota 44 - bezpośrednio - 31 731 m2;Warszawa, Śródmieście, Złota;3300000;31731;104 m²;2;wtórny;> 10;52;aluminiowe;apartamentowiec;;pełna własność;miejskie;2018;inne;;
24;Złota 44 - bezpośrednio i 0% prowizji.;Warszawa, Śródmieście, Złota;4497417;21325;210,90 m²;4;pierwotny;10;52;aluminiowe;apartamentowiec;;pełna własność;miejskie;2018;inne;;
25;Złota 44 - bezpośrednio i 0% prowizji.;Warszawa, Śródmieście, Złota;4795320;44900;106,80 m²;3;pierwotny;> 10;44;aluminiowe;apartamentowiec;;pełna własność;miejskie;2015;inne;;
29;Poznaj atuty tego mieszkania! Bemowo, blisko Metra;Warszawa, Bemowo;579000;8341;69,42 m²;3;pierwotny;1;5;plastikowe;blok;;pełna własność;miejskie;2021;;do wykończenia;
30;Dwa widne pokoje, komfortowy rozkład. Ursynów;Warszawa, Ursynów;445000;10963;40,59 m²;2;pierwotny;4;4;plastikowe;blok;;pełna własność;miejskie;2020;;do wykończenia;
31;Poznaj atuty tego mieszkania! 3 pokoje, Ursynów.;Warszawa, Ursynów;529000;8904;59,41 m²;3;pierwotny;4;4;plastikowe;blok;;pełna własność;miejskie;2020;;do wykończenia;
38;Dom Marzeń III Etap, mieszkanie 29;ul. Jana Pawła II, Piaseczno, piaseczyński, mazowieckie;360214;7950;45,31 m²;2;pierwotny;2;5;;;;;;2019;;do wykończenia;
39;Dom Marzeń III Etap, mieszkanie 28;ul. Jana Pawła II, Piaseczno, piaseczyński, mazowieckie;347812;7950;43,75 m²;2;pierwotny;2;5;;;;;;2019;;do wykończenia;
41;4 pokoje w nowym budownictwie z garażem Przymorze;Gdańsk, Przymorze, Piastowska;1050000;12209;86 m²;4;wtórny;2;4;;blok;480 zł;pełna własność;miejskie;2008;pustak;do zamieszkania;
42;Zielona Góra, Strumykowa przy Dolinie Gęśnika;Zielona Góra, Centrum, ul. Strumykowa;399000;6045;66 m²;3;wtórny;3;4;plastikowe;apartamentowiec;550 zł;pełna własność;miejskie;2010;silikat;do zamieszkania;2020-01-31
45;Nowe mieszkanie na Felinie, dwa pokoje;Lublin, Felin;237000;5780;41 m²;2;pierwotny;2;3;plastikowe;blok;;pełna własność;miejskie;2019;;do wykończenia;
46;Dom Marzeń III Etap, mieszkanie 27;ul. Jana Pawła II, Piaseczno, piaseczyński, mazowieckie;337875;7950;42,50 m²;2;pierwotny;2;5;;;;;;2019;;do wykończenia;
47;2 pok., os.Tuwima (Katowice – Wełnowiec);Siemianowice Śląskie, śląskie;188000;3913;48,05 m²;2;wtórny;1;2;;blok;;pełna własność;;;cegła;do remontu;
